ID,TEXT,LABEL
74,i received a lottery amount of 5000 today,achievement
75,I talked to my mom on the phone and it was an amazing call. ,affection
76,"I got to talk to my mother on the phone last night, we hadn't spoke in a while and it was needed.",affection
77,"The pork I cooked for dinner last night turned out well, I was worried it wouldn't. ",achievement
78,I got accepted into the college I applied for. ,achievement
79,I received a birthday gift in the mail from a good friend of mine. ,bonding
80,I talked to my girlfriend recently and she told me that she loved me.,affection
81,I finally had a chance to talk about some things that were really bothering me with a good friend.,bonding
82,I went for a walk early in the morning and air was clear and crisp.,nature
83,When my wife came home from being at work all day.,affection
84,"I was finally able to take the necessary steps to start learning Japanese and I finally read my first sentence, it felt really great inside.",achievement
85,I sold my motorcycle and got 2 thousand dollars for it which is a lot,achievement
86,I sat outside in my backyard and enjoyed the greenery and the sun that shone down on my face.,nature
87,My wife made her chicken soup.,affection
88,I received a bonus at work.,achievement
89,"I went out to eat at my favorite burger joint. The burgers were so delicious, I was in complete bliss.",enjoy_the_moment
90,Coffee has made me incredibly happy.,enjoy_the_moment
91,I was able to have my cell phone service plan significantly reduced which caused me a great deal of happiness yesterday. ,achievement
92,I finally cleaned out my basement. ,achievement
93,My new boss appreciated the work i put in,achievement
94,I saw some friends that I had not seen in a while and it was good to reconnect. ,bonding
95,My cat snuggled with me while we slept.,affection
96,i was working on a problem from the morning when i found the solution for the problem i was very happy there is no words to describe my feelings,achievement
97,I made my goal of losing 10 pounds.,achievement
98,I bought a new laptop.,achievement
99,My friend treated me to a nice lunch. It was seafood and delicious. I didn't have to pay for anything. ,bonding
100,Watching Bob's Burgers streaming on Fox.,leisure
101,"I got a ten dollar bonus from a requester on Mechanical Turk, and I didn't even remember doing the HIT.",achievement
102,I had talked on the phone with my girlfriend while i've been sick. ,affection
103,My 4 year old son was trying to impress his mother yesterday. After dinner he asked for a piece of chocolate. We have mini Hershey bars so I put one on the counter. My son pointed at the chocolate bar and with his finger moving across the letters he said. Mom it says Turkeys. It made me laugh,affection
104,I got complimented on looking buff,achievement
105,Did well in the videogame I was playing,leisure
106,I won at poker at the local bar. I won $600 and bought a round of drinks for everyone cause I felt so good. I am still happy from this event even this morning. ,achievement
107,I got done with a test that I had been nervous about taking. I think I did pretty good too.,achievement
108,"I finally repaired a problem with my car. I needed some help, but I managed to do it mostly on my own.",achievement
109,I played with my dog.,affection
110,I watched a wonderful movie that I have not seen in years. My family and I were thrilled.,affection
111,Basically I got an eye exam that really helped me with my eyes. I have diabetes and suffering some vision problems. I ended up getting prescription glasses for my eyes.,achievement
112,My daughter told me she loved me and hugged me before bed time.,affection
113,I got a call for a job interview I didn't think I qualified for.,achievement
114,"I got Chinese food for dinner, it was good.",leisure
115,"My friend, Sheryl came over to visit me and my puppy. ",bonding
116,Talking to my girlfriend over the phone and making weekend plans,affection
117,I made the final table of a poker tournament.,achievement
118,I helped plan a surprise party for my Mom's 70th birthday party coming up. ,affection
119,I was really happy when I was finished with my midterm. I felt decently well on it and was happy when it was over.,achievement
120,My baby woke up silly and happy and I  felt happy and refreshed from a fairly good night sleep and enjoyed his silliness.,affection
121,I got a full night of sleep. That does not often happen with a 3 month-old in the house. ,enjoy_the_moment
122,"I finally completed a long, tiring task at work.",achievement
123,"Increased my max bench press this morning, heaviest I've ever lifted",achievement
124,I watched a Blackhawks game last night.,leisure
125,complete my pending job task today.,achievement
126,"I realized that, under the ACA, I have people I can count on to support me in getting (and keeping) health coverage.",achievement
127,I worked on my garden in the nice warm weather. The plants were all growing so nicely and the air was so clean.,nature
128,I had cream of chicken soup for dinner. It made me feel a lot better because I have been sick. ,enjoy_the_moment
129,I got to take a walk with my 12 month old son and my husband. The weather is ver beautiful right now. cool and sunny.,affection
130,Picking up my girlfriend from the airport since I hadn't seen her for two weeks.,affection
131,My ex girlfriend texted me and talked to me on the phone as well.,affection
132,I watched a particularly compelling episode of a show that I enjoy on Netflix.,leisure
133,My professor gave me an extension on an assignment,achievement
134,I WAS VERY HAPPY THAT SOMEONE WHO OWED ME MONEY PAID ME BACK LAST NIGHT. ,enjoy_the_moment
135,I went to In n Out after work and I was starving. The double double tasted so good,enjoy_the_moment
136,"I went to the beach with my girlfriend. It was nice seeing the beautiful sunset go down while holding her in my arms, I was so grateful for this life",affection
137,Daughter committed to a college.,affection
138,I enjoyed cooking ribs for dinner tonight.,enjoy_the_moment
139,"I watched a movie with my wife, and we both enjoyed it.",affection
140,I went for a walk on the marina with my husband.,affection
141,"The last show before WrestleMania, Goldberg appeared and got the better of his upcoming opponent Brock Lesnar.  A great result.",achievement
142,"I made an amazing dinner of garlic and butter noodles.  It had the perfect amount of salt, butter, and Parmesan cheese.  It made my mouth really happy.  ",achievement
143,Going to dunkin' donuts and getting a free dozen of them made me happy today.,enjoy_the_moment
144,Cooking dinner with my boyfriend.,affection
145,I won sports bets on all 3 of the tennis matches I put money on.,achievement
146,I made a great riff on guitar,achievement
147,"I ate chicken, rice, and vegetables for lunch.",leisure
148,I went to the gym. Hitting a new personal record on the bench press made me more confident in my abilities.  ,exercise
149,When I'm with my kids.,affection
150,I completed a modification for a video game that I was able to release to the public.,achievement
151,I finally figured out how to properly install a program at work. ,achievement
152,my mom made me my favorite pancakes after long time.,affection
153,I hung out with my mother.,affection
154,"Me and my spouse spent the entire day together, laying around and enjoying each others company. We are both pretty busy during the days, and it was very nice that we both had all day to each other. ",affection
155,My coworker just received news that she had an accepted offer on her home.,bonding
156,I had a great meal,enjoy_the_moment
157,I prepped oatmeal for a few months so I have plenty of great breakfasts ready.,achievement
158,A friend came over to help install an appliance.  I was very happy I didn't have to pay a professional.,bonding
159,I am getting better at doing homework without having a mental breakdown or sleeping.,achievement
160,I finished the work project I was working on today.,achievement
161,I played video games with my roommate and online friends.,bonding
162,I fixed a broken window that had been in that condition for months!,achievement
163,Walking outside with a friend playing pokemon go,bonding
164,My daughter came in last night and told me that she loved me and gave me a hug and a kiss and then put herself to bed. ,affection
165,I was watching an episode of crashing and I had a good laugh at one of the jokes on the episode.,enjoy_the_moment
166,Getting a back massage,leisure
167,I hung out and went drinking with my boyfriend and our friends.,affection
168,I found something unexpected in a video game I am playing.,leisure
169,My husband finished painting my bathroom.  It has been a mess for 2 weeks but last night he put on the last coat after he got home from work.  It made me so happy that it was finally a functional bathroom again.,affection
170,I got to take a nap on the couch.,leisure
171,"I participated in a group task and felt valued in it, as if my skills were needed and appreciated. ",achievement
172,I picked up a new phone this afternoon with an Android operating system instead of the terrible Windows phone I have been using. ,achievement
173,i was working on a problem from the morning when i found the solution for the problem i was very happy there is no words to describe my feelings,achievement
174,My husband made dinner! There were left overs he makes the best scampi ,affection
175,I completed upgrading the switches in our house so everything looks much better.,achievement
176,Cooked and ate a delicious steak. ,enjoy_the_moment
177,"I was preparing a scrap book for another friend for her birthday. It had screenshots of our chats during the past year, photos, and notes. She teared up going through it and told me aI donat know what have I done to deserve people like you caring this mucha",bonding
178,Playing video games with my nephew,leisure
179,I managed to work on my web design project after putting it off for a while.,achievement
180,I got to watch my favorite tv show.,leisure
181,I went an entire day of work with no one from HQ sending us last minute insurance claims files and my boss didn't yell at me to work faster to meet deadlines. I had a boring happy day.,achievement
182,I went grocery shopping and got some really good deals.  I spent $20 less than I had planned.  Bought some marked down ribeyes for $3/lb.,achievement
183,I ate some of my favorite meals (including bourbon steak) for dinner.,enjoy_the_moment
184,I finished the grout on the new counter top tile. ,achievement
185,"I got to go get some chinese food, I hadnt had any in a long time.",leisure
186,My friend stopped by to cht and see me who I have not seen since last year. It was awesome to touch base again and have him back in town. ,bonding
187,I stepped outside without a jacket today.  The sun is shining and it finally feels a bit like spring!,nature
188,I brought in a card game to try playing with my client and he enjoyed it.,leisure
189,"I got to see my niece today, she's adorable.",affection
190,I picked up running again now that the winter weather has finally died down. I feel much better physically and emotionally because of it.,nature
191,I ate tacos.,enjoy_the_moment
192,My brother bought home pizza,affection
193,I smoked some weed with my very close friends.,bonding
194,"Watching a soap opera of a wrestler, Blue Demon.",leisure
195,I was able to find a rare vinyl record I had been looking for for a long time. ,achievement
196,getting more money ,achievement
197,My most annoying co-workers are away at a conference and the office has been really peaceful. ,enjoy_the_moment
198,I finished all of my work by the end of the day.,achievement
199,I won $20 on a fanduel nba fantasy basketball tournament lineup contest.,achievement
200,When I played with my daughter,affection
201,happy moment is i got a call saying i got a job and i need to do paperwork.,achievement
202,A shirt that I had ordered online finally came in.,achievement
203,When school ended and so I could finally go home.,enjoy_the_moment
204,I grabbed a $20 HIT on Mechanical Turk.,achievement
205,I ran quite a long distance with good weather.,exercise
206,Amazon was able to refund a product that I thought I was going to be stuck paying for.,achievement
207,My husband told me I didn't have to cook. He is getting food on the way home from work.,affection
208,I checked a lotto ticket today and found that I won $2.00.,achievement
209,Found out that my cousins bought a new home near me. ,affection
210,I made a delicious breakfast.,achievement
211,The team I coach won its match today.,achievement
212,I did rather well in reaching my recent sales goal.,achievement
213,I saw my boyfriend again after being apart for a month.,affection
214,I had an amazing dream this morning.,enjoy_the_moment
215,I completed a goal that I set for myself at the gym and it pumped me up for tomorrow. ,exercise
216,I ate delicious rice pudding,enjoy_the_moment
217,I'm finally getting back into my healthy eating plan and today I found out I lost a pound.,achievement
218,I finished a project at work all by myself.,achievement
219,My friend and I took a long walk.,bonding
220,I saw that there was a new episode of Mindy Project and I was excited to watch it.,leisure
221,I got my favorite ice cream from the ice cream parlor,leisure
222,"Thinking about my young grandchildren after looking at their pictures today, and how they all look and act just like their Dad, making me very happy and proud.  ",affection
223,my girlfriend surprised me at work with a gift.,affection
224,I am happy that I stuck to my diet that I started yesterday without cheating at all.,enjoy_the_moment
225,I played a video game.,leisure
226,I was able to turn in the forbearance form for my student loans.,achievement
227,My boss told me I did an exceptional job. ,achievement
228,I enjoyed the great meal and drinks on my flight.,enjoy_the_moment
229,I watched a TV show I like a lot.,leisure
230,My son got himself ready for school without my help.,affection
231,"I went to dinner with some friends, after a meeting.",bonding
232,I went to the gym with a friend of mine who I hadn't seen in a long time.,bonding
233,Performing well at an online game and helping my team win.,achievement
234,I am planning another trip upcoming in August. This one is a week-long trip in Colorado. Planning makes me so excited. I love seeing everything coming together and falling into place. I will probably continue to be happy about this randomly up to the point of the actual trip.,enjoy_the_moment
235,I ate dinner with my favorite person.,affection
236,Spending time with my dogs outside made me happy. I love watching them play and having fun,affection
237,I ate McDonald's for breakfast.,enjoy_the_moment
238,I was able to save a customer of mine over 1000 dollars in insurance premiums.,achievement
239,I was able to enjoy a nice pleasant dinner with my family last night at the olive garden.,affection
240,My favorite show came back on netflix,enjoy_the_moment
241,I met a close friend for coffee. ,bonding
242,My cat cuddled with me when I went to sleep. ,affection
243,I listened to a new song that I really liked.,leisure
244,When my kids were going to bed they both gave me a kiss and a hug and told me that they loved me.  They are teens now so I hope it will last.,affection
245,I got my sons report card from his teacher and saw that he got all A's.,affection
246,i was working on a problem from the morning when i found the solution for the problem i was very happy there is no words to describe my feelings,achievement
247,I went out to lunch with my boyfriend and we sat outside while we ate and enjoyed our food together.,affection
248,I got to eat some great food from my mom that I hadn't had in awhile,affection
249,I made myself a tasty dinner last night.,leisure
250,I was able to leave work early.,achievement
251,In my free time on Monday Night I went online and started doing some paid research survey. I have been too lazy to do them but since I am always online I decided to get paid while searching the internet.,leisure
252,"I listened to the latest album from a favorite musician, Kristin Hersh.",leisure
253,"At dinner, my family and I were all laughing at the silly song my daughter made up.",affection
254,Had a delicious lunch,enjoy_the_moment
255,"When i ware upset last night, my mom convey me some words through online video chat. Listening to my mom's word on phone call was the best enlightenment to me i have received in last few months.",affection
256,I took some medication that relieved soem pain.,achievement
257,I was able to take my cat out for a walk while the sky was clear.,affection
258,"I played with my new kitten, we have only had him for 3 weeks!",affection
259,I got my paycheck.,achievement
260,I was accepted for a higher paying study on mechanical turk. I need the money and I was thrilled that I could earn the extra money in this way.,achievement
261,I ate a delicious and healthy smoothie.,enjoy_the_moment
262,My son told me he is having the best time while we were at the beach this morning in Florida. ,affection
263,I woke up next to my fiance.,affection
264,I reached my sales goals at work for the day. I feel really proud of my diligent efforts.,achievement
265,Baking macaroons with my little brother and sister.,affection
266,I was happy that I lost over one pound. I cheated some but still lost weight.,achievement
267,"I was preparing a scrap book for another friend for her birthday. It had screenshots of our chats during the past year, photos, and notes. She teared up going through it and told me aI donat know what have I done to deserve people like you caring this mucha",bonding
268,Eating a BBQ pizza from Little Ceasars.,enjoy_the_moment
269,i felt happy today when i got caught up on my work so i had some free time to myself. ,enjoy_the_moment
270,I got my check from the insurance company to fix my damaged car.,achievement
271,I started a new diet and was able to control my urge to eat chocolate so far.,achievement
272,I finished washing my car and making it glossy. It looks fantastic now.,enjoy_the_moment
273,My friend sent me pictures of his cat.,bonding
274,"I made plans with my brother to get together this weekend to watch the Final Four.  My nephew could win $700, because he has Gonzaga beating Oregon in the championship game.",affection
275,My husband surprised me by finishing the laundry.,affection
276,I received a gift card from my mother.,affection
277,I have my evening free since I didn't have to go to one of my jobs or go to a club meeting that I normally have every week.,leisure
278,I received the drafts back on a grant proposal I am working on from my advisor in less than a day so I could re-edit them.,achievement
279,I got my bff to stop yelling at me all the time because her boyfriend is a dick,bonding
280,I made myself pizza for dinner and sampled some home brewed beer.,enjoy_the_moment
281,I got Chinese food for lunch this afternoon as a treat for working through a ten hour day.,enjoy_the_moment
282,I finished a presentation,achievement
283,I found a coupon while ordering food online through seamless and saved $10.,achievement
284,"After a long day, I picked up a six pack of beer;  I'm in the process of enjoying it now.",enjoy_the_moment
285,My daughter told an unexpectedly funny joke. ,affection
286,Both of my dogs and my toddler played together nicely outside while I enjoyed the nice sunny weather.,nature
287,my younger sister marriage all family members will meet very enjoyful,affection
288,The temperature today was 70 degrees and the sun was shining.  I don't like cold weather so this was heaven for me.,nature
289,I called an old friend and talked for a while,bonding
290,I read a few more chapters of the novel I've been reading these past few weeks.,leisure
291,I was able to imagine a hopeful future when I am stuck in depression and poverty at the moment. ,enjoy_the_moment
292,I saw my friend at work and we talked about life.,bonding
293,"My partner sent me a special gift of chap stick, that he made himself. ",bonding
294,Making money on amazon turk made me happy this month.,achievement
295,"My new boss complimented me, and said other management staff appreciated my efforts. ",achievement
296,Last month I have achieved my target in my job much before the stipulated time.,achievement
297,My cat had recently lost weight so i took her to the veterinarian. The veterinarian said my cat had all the symptoms of hyperthyroidism. A few days later i received a call saying that my cat was perfectly fine and healthy.,affection
298,Something that made me happy in the past month was when I received a bouquet of flowers. ,enjoy_the_moment
299,When I ate at a new restaurant.,leisure
300,"It was 70 degrees out the other day, and it felt amazing to go for a walk in the park.",nature
301,I spent some time with a close friend.,bonding
302,Moving back home made me happy.,enjoy_the_moment
303,I was very happy last month when my wife got delivered a cute baby girl which just looks like me,affection
304,My wife gave birth to a baby boy and this made me happy.,affection
305,I went to meeting of science exhibition..  It is very useful to see..,leisure
306,"Meeting up with my nephew and niece at my brother's home was awesome, we had fun together.",affection
307,I got to to Philadelphia to see my brother and his family and I felt amazing. ,affection
308,My son saying he loves me,affection
309,Getting a job offer from a very important company.,achievement
310,The day I went to my daughter's clarinet concert. ,affection
311,I made cookies with my grandson.,affection
312,I made an exceptionally wonderful meal for our dinner.,achievement
313,I went to dinner with my girlfriend,affection
314,I was able to use my health knowledge when I volunteered for a health group as their guest speaker. ,achievement
315,Going home to see my family after being gone for college.,affection
316,When I finished landscaping the front yard with my wife helping me.,affection
317,"I was struggling with a problem with my elderly mother.  As my wife and I were discussing this unhappy problem, our 8-year old son came up and gave us both hugs just because he wanted us to feel better.",affection
318,I had a 3 hour conversation with my ex-girlfriend.,affection
319,My wife give me a watch as gift. I have greatly enjoyed in my life,affection
320,What made me happy this past month was passing my PGCert one which is the first hurdle to completing my PhD. ,achievement
321,Being with my family on the weekends. Going to my best friends house.,affection
322,We got a new house and a car.,achievement
323,I went to a Game of Thrones live concert experience last Thursday which made me extremely happy.,leisure
324,My youngest son began to stand up holding on to an object. ,affection
325,I have been really depressed lately and afraid to share it with my husband.  He has been very loving and supportive since I told him my feelings.  ,affection
326,I got to leave the time-zone I was born in for the first time.,achievement
327,learning & study make me happy,enjoy_the_moment
328,This month was my birthday and it made me happy that my wife took me out for a romantic date. It made me feel special and loved by her and it was nice to get out. ,affection
329,Yesterday was my birthday and usually I am not honored or get more than a general happy birthday from my family and friends.  But my boyfriend stayed up until one minute after midnight the night before just so he could say he was the first to wish me a happy birthday.  ,affection
330,I was made very happy when I was working with my students and they were able to create and play their own music in about an hour.,achievement
331,I recently received a new golf putter that I had wanted for a while.,achievement
332,Hangout with my friends like window shopping,bonding
333,"My little sister and her family came for a two week visit. I got to hold my baby niece for the first time! I am still happy over this event, as they have just left for their new home, so the joy has not left yet.",affection
334,I watched my niece and nephew for a weekend. One night when I tucked them into bed my niece wanted hugs and kisses over and over again. Usually she gives me one of each and goes to bed. After three huge hugs and kisses she told me that she loves me so so much and couldn't wait to see me in the morning. As I was leaving her room she told me she had one more question. When I asked her what it was she said I love you so much! I couldn't help but smile for the rest of the night.,affection
335,I was happy when my work hours were restored to full time (after being reduced across for budgetary reasons) and we even started getting opportunities for overtime.,achievement
336,I'm finally about to buy a car. My savings just got their few days ago. Now I'm looking. It's exciting.,achievement
337,I bought several books for cheap that would allow me to study well for an upcoming test.,achievement
338,I bought a new cell phone with latest features and specifications.,achievement
339,I was treating my sons family to Sunday lunch and I caught my very intelligent 16 year old grandson off guard and made him laugh.,affection
340,meeting old friend last sunday,bonding
341,I traveled to a state I had never been before.,leisure
342,"I could help a student to buy study materials who was best at his studies,but unable to support financially by his family",bonding
343,"When my thighs started to shrink from a low protein diet. I ate low carb and worked out hard 7 days a week 2 hours a day. I ended up super skinny except with a big butt and thighs (athletic). I look funny though because I am extremely, extremely thin on top and a size 6 or 8 on the bottom.",exercise
344,I received flowers from my partner today.,affection
345,I got around to taking a photo I wanted of a landmark near my home.,achievement
346,I had dinner with my significant other.,affection
347,Finishing up work after a long and grinding day of court.,achievement
348,My happiness had its complement when I was called to congratulate myself for my graduation of an intensive course of programming. I felt expert in technology.,achievement
349,Riding in the elevator in the arms of the guy I liked and getting a kiss and a long look before going to bed.,affection
350,The fruits of my labor a a packaging design a were printed and I received some really great recognition for it.,achievement
351,My husband and me fighting we are not celebrating my birthday ,affection
352,My happy moment was going out to dinner with my husband and son this week:,affection
353,when i play skateboard with my comrade then i fall they cheer me up and encourage to do it again.. when i land it perfectly that the sweetest happiest moment of my life ,bonding
354,I got the invigilation duty for class X board exams this year.  This is the first time get the duty after 19 years of work.  This has given me a tremendous joy and satisfaction.,achievement
355,I met with my school friends and enjoyed a lot.,bonding
356,I got to see one of my friends that I havent seen in a long time and we got to catch up.,bonding
357,BEFORE 2 YEARS FOR MY COLLEGE TOUR FUNCTION   SO WE ALL ENJOY THIS HAPPY MOMENT  FOR MY LIFE. SO I DON'T FORGETTING THIS LIFE.,enjoy_the_moment
358,My toddler stopped bedwetting.,affection
359,I finished writing my music album.,achievement
360,Another happy moment would be when I got to see my little brother for his birthday,affection
361,"I was very happy and relieved when my dad, who has cardiomyopathy, told me he was able to increase the amount of time he spends exercising every day.",affection
362,I got a stock dividend.,achievement
363, It made me happy when my infant son used baby sign language for the first time.,affection
364,Larger pay check,achievement
365,When I finished reading my book for the week.,achievement
366,My nephew was able to get a scholarship to a highly rated university,achievement
367,Waking up this morning and seeing my son smile made me happy.,affection
368,I won a small amount of money on a lottery ticket.,achievement
369,I bought a new car ,achievement
370," Start a one-line-a-day gratitude journal. Before bed, simply jot down one happy memory from that day. (If you have kids, you can ask them, What was the best part of today?) Reflection is an important part of happiness, and pausing to reflect on a positive event from each day cultivates gratitude.",enjoy_the_moment
371,I arrived at the Grand Canyon and saw the view from the South Rim for the first time.,nature
372,My husband got a very nice evaluation from his boss.,achievement
373,I found some gluten free Matzo at the grocery store. It made me happy because I can't eat gluten. It was also cheaper than I expected. It tastes good. ,enjoy_the_moment
374,When I saw the ultrasound of our baby move around.  It made me realize how precious life can be and its the little moments that make it all worth it. ,affection
375,"After traveling through a snowstorm and boarding a plane in freezing weather, arriving in a destination that was 80 degrees and sunny. ",nature
376,When I completed a dungeon level in a video game I was playing.,leisure
377,I was happy when I received gifts from my sister just for the sake of giving.,affection
378,"Being more financially conscious , i am wasting less money on things I can live without.",achievement
379,A friend surprised me at work and took me out to lunch.,bonding
380,My husbands representative for this VA claim called and updated me on everything going on and stated that everything looked extremely favorable for him to win his claim and recieve over three years of back pay.,achievement
381,The second thing that made me happy was that i won a football match with my friends.,bonding
382,My mother told me she had a gift for me.,affection
383,I presented results for last month in a large meeting.,achievement
384,I found out that I had enough money to take a vacation this summer to the Caribbean!,enjoy_the_moment
385,What made me happy this month is watching my son learn new things. ,affection
386,My husband surprised me with my favorite treats.,affection
387,"My daughter started walking, and has gotten much better in the past few days.",affection
388,I got to spend time with my dad's family. We sat outside in the rain and roasted hotdogs over a bonfire.,affection
389,I successfully learned how to hover in a helicopter. ,achievement
390,"I had lots of good food on a daily basis, particularly, there is shave ice and rice dishes, noddle dishes and other very good food.",enjoy_the_moment
391,When we booked our honeymoon for late November 2017.,affection
392,"Yesterday I was looking outside my  house, some children playing cricket by looking them i was remembered my childhood days ",enjoy_the_moment
393,when i left work,enjoy_the_moment
394,Dinner with team,bonding
395,I was happy when the local radio station played one of my favorite old-school rap songs.,enjoy_the_moment
396,I buy a new plant,achievement
397,My best friend and I scored two  free tickets to a concert we'd been wanting to see but neither of us could really afford.,bonding
398,I went to chipotle and the server game me way more food than usual.,leisure
399,My family went to two day tour in a historical place. ,leisure
400,My happy moment was my husband making me dinner.,affection
401,Smoking perfect pork shoulder for a family dinner.,affection
402,I've got a new laptop and it works really well.,achievement
403,"I bought my niece a new bike for her birthday. She was happy, I was thrilled. Watching her try and fall, but finally succeed in riding the bike was quite a joyful experience.",affection
404,I saw the film Zootopia.,leisure
405,I did well in my lab work.,achievement
406,Receiving a phone interview request to the internship I applied for ,achievement
407,I was informed that my wife got a 6% pay increase which is  a lot compared to the usual 1.5% most employees usually get so I was very happy and proud of her.,achievement
408,I got the news of my promotion to a higher post.,achievement
409,I made a very high rank in hearthstone very recently after struggling for it.,achievement
410,I bought a new phone,achievement
411,"Got a new job in a reputed company last month, i am more than happy.",achievement
412,The Oregon Ducks advanced to the final four in the college basketball tournament.,achievement
413,Going to Disney World with family and friends. We all had a great time.  Lots to see and do there.  THe hotel was great and the parks were fun.  And seeing the expressions on my daughter's faces when we told them we were going to Disney World over the weekend made me very happy.,affection
414,I am finally leaving the town i work in.,achievement
415,I was Mailed and congratulated by the Country Head.,achievement
416,I fixed a plumbing problem in my house.,achievement
417,My family and I laughed while we were eating dinner the other night.,affection
418,I was very happy to find out that our business already has a lot of interest and we haven't even launched yet. ,achievement
419,my husband actually came into some money from a past employer. they ended on bad terms and they owed him money when he left the job. we had pretty much given up on the idea of getting the money when we got a check in the mail. i went to get the sales papers from the mail box and what do ya know?! there was a big fat check in there. that really made my day. i felt like all of our problems were solved right then. a stress just lifted off of my shoulders and i called my husband to tell him we were going out to celebrate!,affection
